Gene name	Synonym	Accession number	Location (kb)	Functional category	Description
Rv3338		Rv3338	3723.90	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3351c		Rv3351c	3768.14	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3353c		Rv3353c	3769.00	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3354		Rv3354	3769.11	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3360		Rv3360	3772.65	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3361c		Rv3361c	3773.57	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3362c		Rv3362c	3774.16	10	PROBABLE ATP/GTP-BINDING PROTEIN
Rv3363c		Rv3363c	3774.50	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3364c		Rv3364c	3774.87	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3365c		Rv3365c	3777.50	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3369		Rv3369	3780.98	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3371		Rv3371	3784.93	10	CONSERVED HYPOTHETICAL PROTEIN. POSSIBLE TRIACYLGLYCEROL SYNTHASE (DIACYLGLYCEROL ACYLTRANSFERASE).
Rv3376		Rv3376	3790.16	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3378c		Rv3378c	3793.25	10	HYPOTHETICAL PROTEIN
Rv3394c		Rv3394c	3811.02	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3395c		Rv3395c	3811.64	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3399		Rv3399	3816.13	10	Conserved hypothetical protein. Possible S-adenosylmethionine-dependent methyltransferase.
Rv3403c		Rv3403c	3823.86	10	HYPOTHETICAL PROTEIN
Rv3404c		Rv3404c	3824.58	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3412		Rv3412	3831.73	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3413c		Rv3413c	3833.04	10	HYPOTHETICAL ALANINE AND PROLINE RICH PROTEIN
Rv3415c		Rv3415c	3834.52	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3421c		Rv3421c	3839.69	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3422c		Rv3422c	3840.20	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3424c		Rv3424c	3842.08	10	HYPOTHETICAL PROTEIN
Rv3433c		Rv3433c	3853.21	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3438		Rv3438	3857.40	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3439c		Rv3439c	3859.66	10	CONSERVED HYPOTHETICAL ALANINE AND PROLINE RICH PROTEIN
Rv3440c		Rv3440c	3859.98	10	HYPOTHETICAL PROTEIN
Rv3446c		Rv3446c	3864.53	10	HYPOTHETICAL ALANINE AND VALINE RICH PROTEIN
Rv3463		Rv3463	3880.91	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3471c		Rv3471c	3889.34	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3472		Rv3472	3889.36	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3480c		Rv3480c	3900.40	10	CONSERVED HYPOTHETICAL PROTEIN. POSSIBLE TRIACYLGLYCEROL SYNTHASE (DIACYLGLYCEROL ACYLTRANSFERASE).
Rv3486		Rv3486	3905.77	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3488		Rv3488	3907.67	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3489		Rv3489	3908.07	10	HYPOTHETICAL PROTEIN
Rv3491		Rv3491	3909.89	10	HYPOTHETICAL PROTEIN
Rv3492c		Rv3492c	3910.95	10	CONSERVED HYPOTHETICAL MCE ASSOCIATED PROTEIN
Rv3493c		Rv3493c	3911.68	10	CONSERVED HYPOTHETICAL MCE ASSOCIATED ALANINE AND VALINE RICH PROTEIN
Rv3510c		Rv3510c	3939.26	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3517		Rv3517	3953.43	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3519		Rv3519	3955.55	10	HYPOTHETICAL PROTEIN
Rv3521		Rv3521	3957.52	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3527		Rv3527	3963.60	10	HYPOTHETICAL PROTEIN
Rv3528c		Rv3528c	3965.19	10	HYPOTHETICAL PROTEIN
Rv3529c		Rv3529c	3967.04	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3531c		Rv3531c	3968.94	10	HYPOTHETICAL PROTEIN
Rv3541c		Rv3541c	3981.05	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3542c		Rv3542c	3981.98	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3547		Rv3547	3986.84	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3555c		Rv3555c	3995.70	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3566A		Rv3566A	4008.43	10	HYPOTHETICAL PROTEIN
Rv3572		Rv3572	4013.51	10	HYPOTHETICAL PROTEIN
Rv3577		Rv3577	4019.26	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3586		Rv3586	4027.89	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3594		Rv3594	4035.86	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3600c		Rv3600c	4043.86	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3603c		Rv3603c	4046.12	10	CONSERVED HYPOTHETICAL ALANINE AND LEUCINE RICH PROTEIN
Rv3611		Rv3611	4052.95	10	HYPOTHETICAL ARGININE AND PROLINE RICH PROTEIN
Rv3612c		Rv3612c	4053.85	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3613c		Rv3613c	4054.04	10	HYPOTHETICAL PROTEIN
Rv3614c		Rv3614c	4054.70	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3615c		Rv3615c	4055.12	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3616c		Rv3616c	4056.38	10	CONSERVED HYPOTHETICAL ALANINE AND GLYCINE RICH PROTEIN
Rv3626c		Rv3626c	4065.90	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3627c		Rv3627c	4067.28	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3633		Rv3633	4071.79	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3639c		Rv3639c	4078.45	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3642c		Rv3642c	4080.76	10	HYPOTHETICAL PROTEIN
Rv3643		Rv3643	4081.16	10	HYPOTHETICAL PROTEIN
Rv3647c		Rv3647c	4088.19	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3651		Rv3651	4091.84	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3654c		Rv3654c	4094.91	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3655c		Rv3655c	4095.30	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3656c		Rv3656c	4095.53	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3659c	<I>trbB</I>	Rv3659c	4097.99	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3662c		Rv3662c	4102.04	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3672c		Rv3672c	4114.34	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3678A		Rv3678A	4118.69	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3678c		Rv3678c	4118.51	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3683		Rv3683	4124.42	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3686c		Rv3686c	4129.08	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3688c		Rv3688c	4130.36	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3691		Rv3691	4132.52	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3698		Rv3698	4140.49	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3699		Rv3699	4142.04	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3701c		Rv3701c	4144.92	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3702c		Rv3702c	4145.61	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3703c		Rv3703c	4146.89	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3705A		Rv3705A	4149.48	10	CONSERVED HYPOTHETICAL PROLINE RICH PROTEIN
Rv3705c		Rv3705c	4148.96	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3706c		Rv3706c	4149.91	10	CONSERVED HYPOTHETICAL PROLINE RICH PROTEIN
Rv3707c		Rv3707c	4151.04	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3714c		Rv3714c	4159.82	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3716c		Rv3716c	4160.91	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3717		Rv3717	4161.05	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3718c		Rv3718c	4162.26	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3719		Rv3719	4162.31	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3722c		Rv3722c	4168.13	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3730c		Rv3730c	4181.72	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3732		Rv3732	4182.93	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3733c		Rv3733c	4184.51	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3734c		Rv3734c	4185.89	10	CONSERVED HYPOTHETICAL PROTEIN. POSSIBLE TRIACYLGLYCEROL SYNTHASE (DIACYLGLYCEROL ACYLTRANSFERASE).
Rv3735		Rv3735	4186.09	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3740c		Rv3740c	4192.18	10	CONSERVED HYPOTHETICAL PROTEIN. POSSIBLE TRIACYLGLYCEROL SYNTHASE (DIACYLGLYCEROL ACYLTRANSFERASE).
Rv3745c		Rv3745c	4196.10	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3747		Rv3747	4196.72	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3748		Rv3748	4197.24	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3749c		Rv3749c	4198.14	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3753c		Rv3753c	4200.22	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3755c		Rv3755c	4201.89	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3766		Rv3766	4212.29	10	HYPOTHETICAL PROTEIN
Rv3767c		Rv3767c	4213.94	10	Conserved hypothetical protein. Possible S-adenosylmethionine-dependent methyltransferase.
Rv3768		Rv3768	4214.07	10	HYPOTHETICAL PROTEIN
Rv3769		Rv3769	4214.62	10	HYPOTHETICAL PROTEIN
Rv3770c		Rv3770c	4215.77	10	HYPOTHETICAL LEUCINE RICH PROTEIN
Rv3771c		Rv3771c	4216.73	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3773c		Rv3773c	4218.83	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3776		Rv3776	4221.09	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3780		Rv3780	4226.99	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3785		Rv3785	4231.32	10	HYPOTHETICAL PROTEIN
Rv3786c		Rv3786c	4233.60	10	HYPOTHETICAL PROTEIN
Rv3787c		Rv3787c	4234.54	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3788		Rv3788	4234.78	10	HYPOTHETICAL PROTEIN
Rv3796	<I>atsH</I>	Rv3796	4249.88	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3811	<I>csp</I>	Rv3811	4274.80	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3813c		Rv3813c	4279.21	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3818		Rv3818	4282.45	10	HYPOTHETICAL PROTEIN
Rv3819		Rv3819	4284.00	10	HYPOTHETICAL PROTEIN
Rv3822		Rv3822	4286.72	10	
Rv3831		Rv3831	4305.76	10	HYPOTHETICAL PROTEIN
Rv3832c		Rv3832c	4306.81	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3836		Rv3836	4310.40	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3839		Rv3839	4312.77	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3845		Rv3845	4319.28	10	HYPOTHETICAL PROTEIN
Rv3847		Rv3847	4321.54	10	HYPOTHETICAL PROTEIN
Rv3849		Rv3849	4323.50	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3850		Rv3850	4324.02	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3856c		Rv3856c	4329.41	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3860		Rv3860	4336.78	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3861		Rv3861	4337.95	10	HYPOTHETICAL PROTEIN
Rv3863		Rv3863	4338.85	10	HYPOTHETICAL ALANINE RICH PROTEIN
Rv3864		Rv3864	4340.27	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3865		Rv3865	4341.57	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3866		Rv3866	4341.88	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3867		Rv3867	4342.77	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3868		Rv3868	4343.31	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3871		Rv3871	4348.83	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3876		Rv3876	4353.01	10	CONSERVED HYPOTHETICAL PROLINE AND ALANINE RICH PROTEIN
Rv3878		Rv3878	4356.69	10	CONSERVED HYPOTHETICAL ALANINE RICH PROTEIN
Rv3879c		Rv3879c	4359.78	10	HYPOTHETICAL ALANINE AND PROLINE RICH PROTEIN
Rv3880c		Rv3880c	4360.55	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3881c		Rv3881c	4361.92	10	CONSERVED HYPOTHETICAL ALANINE AND GLYCINE RICH PROTEIN
Rv3884c		Rv3884c	4366.84	10	PROBABLE CBXX/CFQX FAMILY PROTEIN
Rv3896c		Rv3896c	4382.85	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3897c		Rv3897c	4383.64	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3898c		Rv3898c	4383.98	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3899c		Rv3899c	4385.38	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3900c		Rv3900c	4386.31	10	CONSERVED HYPOTHETICAL ALANINE RICH PROTEIN
Rv3902c		Rv3902c	4387.90	10	HYPOTHETICAL PROTEIN
Rv3903c		Rv3903c	4390.43	10	HYPOTHETICAL ALANINE AND PROLINE RICH PROTEIN
Rv3906c		Rv3906c	4391.61	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3908		Rv3908	4393.45	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3909		Rv3909	4394.19	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3912		Rv3912	4400.87	10	HYPOTHETICAL ALANINE RICH PROTEIN
Rv3916c		Rv3916c	4405.17	10	CONSERVED HYPOTHETICAL PROTEIN
Rv3920c		Rv3920c	4408.90	10	HYPOTHETICAL PROTEIN SIMILAR TO JAG PROTEIN
TB11.2	<I>Rv3592</I>	Rv3592	4034.06	10	CONSERVED HYPOTHETICAL PROTEIN TB11.2
TB15.3	<I>Rv1636</I>	Rv1636	1842.45	10	IRON-REGULATED CONSERVED HYPOTHETICAL PROTEIN TB15.3
TB16.3	<I>Rv2185c</I>	Rv2185c	2447.50	10	CONSERVED HYPOTHETICAL PROTEIN TB16.3
TB18.5	<I>Rv0164</I>	Rv0164	 193.63	10	CONSERVED HYPOTHETICAL PROTEIN TB18.5
TB18.6	<I>Rv2140c</I>	Rv2140c	2400.33	10	CONSERVED HYPOTHETICAL PROTEIN TB18.6
TB27.3	<I>Rv0577</I>	Rv0577	 671.17	10	CONSERVED HYPOTHETICAL PROTEIN TB27.3
TB31.7	<I>Rv2623</I>	Rv2623	2949.59	10	CONSERVED HYPOTHETICAL PROTEIN TB31.7
TB9.4	<I>Rv3208A</I>	Rv3208A	3585.95	10	CONSERVED HYPOTHETICAL PROTEIN TB9.4
usfY	<I>Rv3288c</I>	Rv3288c	3670.00	10	PUTATIVE PROTEIN USFY
wbbL2	<I>Rv1525</I>	Rv1525	1720.02	10	POSSIBLE RHAMNOSYL TRANSFERASE WBBL2
yfiH	<I>Rv2149c</I>	Rv2149c	2408.37	10	conserved hypothetical protein YfiH
